version,ultima_actualizacion,impuesto,codigo_unidad_gravable,nombre_unidad_gravable,nombre_corto,opera_sobre_casilla,factor,descuento
0.1.4,23/08/2022 11:00:00,BEBIDAS ALCOHOLICAS,5,Sidras,Sidras 7.50%,CantidadUnidadesGravables,0.075,
0.1.4,23/08/2022 11:00:00,BEBIDAS ALCOHOLICAS,6,Bebidas alcohólicas destiladas,Bebidas alcohólicas destiladas 8.50%,CantidadUnidadesGravables,0.085,
0.1.4,23/08/2022 11:00:00,BEBIDAS ALCOHOLICAS,7,Bebidas alcohólicas mezcladas,Bebidas alcohólicas mezcladas 7.50%,CantidadUnidadesGravables,0.075,
0.1.4,23/08/2022 11:00:00,BEBIDAS ALCOHOLICAS,8,Otras bebidas fermentadas,Otras bebidas fermentadas 7.50%,CantidadUnidadesGravables,0.075,
0.1.4,23/08/2022 11:00:00,TABACO,1,Precio de fábrica,Precio de fábrica por 100%,CantidadUnidadesGravables,1,
0.1.4,23/08/2022 11:00:00,TABACO,2,Precio sugerido al consumidor ,Precio sugerido al consumidor por 75%,CantidadUnidadesGravables,0.75,
0.1.4,23/08/2022 11:00:00,CEMENTO,1,Bolsa de 42.5 kgs,Bolsa de 42.5 kgs Q1.50,CantidadUnidadesGravables,1.5,
0.1.4,23/08/2022 11:00:00,BEBIDAS NO ALCOHOLICAS,1,Bebidas gaseosas y jarabes,Bebidas gaseosas y jarabes Q0.18,CantidadUnidadesGravables,0.18,
0.1.4,23/08/2022 11:00:00,BEBIDAS NO ALCOHOLICAS,2,Bebidas isotónicas o deportivas,Bebidas isotónicas o deportivas Q0.12,CantidadUnidadesGravables,0.12,
0.1.4,23/08/2022 11:00:00,BEBIDAS NO ALCOHOLICAS,3,Jugos y néctares,Jugos y néctares Q0.10,CantidadUnidadesGravables,0.1,
0.1.4,23/08/2022 11:00:00,BEBIDAS NO ALCOHOLICAS,4,Bebidas de yogur,Bebidas de yogur Q0.10,CantidadUnidadesGravables,0.1,
0.1.4,23/08/2022 11:00:00,BEBIDAS NO ALCOHOLICAS,5,Agua natural envasada,Agua natural envasada Q0.08,CantidadUnidadesGravables,0.08,
0.1.4,23/08/2022 11:00:00,TARIFA PORTUARIA,1,Tarifa Portuaria,Tarifa Portuaria $0.05,CantidadUnidadesGravables,0.05,
