code,description_es,class,f14_tab,f14_row_casilla,ct_anchor,catalog_version,valid_from,notes
22,"Transferencia de bienes intangibles por personas naturales domiciliadas",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 156 (via taxation/04 SV-TAX-FR-123)",v16_apendice,2025-10-01,"Intangibles 10% natural persons"
23,"Transferencia de bienes intangibles por personas jurídicas domiciliadas [apéndice elides: '... jurídicas domiciliadas']",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 156 (via taxation/04 SV-TAX-FR-123)",v16_apendice,2025-10-01,"Intangibles 5% juridical persons; description elided as printed in the apéndice"
24,"Por uso o concesión de uso, de derechos de bienes tangibles e intangibles a personas naturales domiciliadas",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 156 zone (via taxation/04 SV-TAX-FR-123 kin)",v16_apendice,2025-10-01,""
25,"Por uso o concesión de uso, de derechos de bienes tangibles e intangibles a personas jurídicas domiciliadas [apéndice elides: '... a personas jurídicas domiciliadas']",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 156 zone (via taxation/04 SV-TAX-FR-123 kin)",v16_apendice,2025-10-01,""
26,"Operaciones de renta y asimiladas a rentas a personas domiciliadas",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 154-160 matrix zone (unpinned per-code)",v16_apendice,2025-10-01,""
27,"Retenciones por servicios de arrendamiento a personas naturales",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 156 (via taxation/04 SV-TAX-FR-122)",v16_apendice,2025-10-01,"Leases from natural persons 10%"
48,"Indemnizaciones por daños",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 154-160 matrix zone (unpinned per-code)",v16_apendice,2025-10-01,""
80,"Servicios de Carácter Permanente con Subordinación o Dependencia Laboral Sin Contribuciones Sociales (Eje.: jubilados y pensionados)",acreditable,acreditables_con_dependencia,"rows 10-27 zone; 104/105 + impuesto 150-164; total 221","D.E. 10-2025 tables kin (via taxation/04 SV-TAX-FR-109)",v16_apendice,2025-10-01,"Payroll code 01/60/80 totality family (06-file FR-143); without social-security contributions"
81,"Servicios de Carácter Permanente sin retención prestado por Jubilados y Pensionados",acreditable,acreditables_definitivas_296_328,"296-328 block zone (form extract groups 46/81-82 here)","D.E. 10-2025 tables kin (via taxation/04)",v16_apendice,2025-10-01,"CLASS ≠ TAB: acreditable class printed in the definitivas 296-328 zone; sin-retención variant; per-row assignment OQ-002"
82,"Pago de sueldos caídos con retención",acreditable,acreditables_definitivas_296_328,"296-328 block zone (form extract groups 46/81-82 here)","D.E. 10-2025 tables kin (via taxation/04)",v16_apendice,2025-10-01,"CLASS ≠ TAB: acreditable class printed in the definitivas 296-328 zone; per-row assignment OQ-002"
83,"Pago de sueldos caídos sin retención",acreditable,acreditables_definitivas_296_328,"296-328 block zone (form extract groups otras 42/83 here)","D.E. 10-2025 tables kin (via taxation/04)",v16_apendice,2025-10-01,"CLASS ≠ TAB: acreditable class printed in the definitivas 296-328 zone; sin-retención variant; per-row assignment OQ-002"
84,"Pago de dietas",acreditable,acreditables_definitivas_296_328,"296-328 block zone (form extract groups remuneraciones inversionistas 49/84 here)","unpinned (OQ-005)",v16_apendice,2025-10-01,"CLASS ≠ TAB: acreditable class printed in the definitivas 296-328 zone; per-row assignment OQ-002"
85,"Indemnizaciones laborales",acreditable,acreditables_con_dependencia,"rows 10-27 zone; 104/105 + impuesto 150-164; total 221","ISR-limited labor indemnities kin (via taxation/04 SV-TAX-FR-124 exceptions note)",v16_apendice,2025-10-01,""
28,"Rentas de Personas Naturales Domiciliadas provenientes de títulos valores",definitiva,acreditables_definitivas_230_336,"rows 28-46 zone; 230-336; totals 330-336","CT 156-B/159 zone (via taxation/04 SV-TAX-FR-124/128 kin)",v16_apendice,2025-10-01,"Definitive natural-person securities yields"
29,"Premios o ganancia de domiciliadas [apéndice elides] ... juegos de azar o de habilidad",definitiva,acreditables_definitivas_230_336,"rows 28-46 zone; 230-336; totals 330-336","CT 160 (via taxation/04 SV-TAX-FR-129)",v16_apendice,2025-10-01,"Domiciled prizes/gambling"
30,"Rentas obtenidas en el país de no domiciliadas por rendimiento de capital invertido, títulos valores, otros",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 158 (via taxation/04 SV-TAX-FR-126)",v16_apendice,2025-10-01,"Non-resident 20% definitive with 5%/10% reduced tracks"
31,"Por uso o concesión de uso [apéndice elides] ... a no domiciliados",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 158 (via taxation/04 SV-TAX-FR-126)",v16_apendice,2025-10-01,""
32,"Transferencia de bienes intangibles por no domiciliadas",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 158 (via taxation/04 SV-TAX-FR-126)",v16_apendice,2025-10-01,""
33,"Rentas obtenidas en el país por personas no domiciliadas",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 158 (via taxation/04 SV-TAX-FR-126)",v16_apendice,2025-10-01,""
34,"Servicios utilizados en el país por actividades originadas en el exterior",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 158 (via taxation/04 SV-TAX-FR-126)",v16_apendice,2025-10-01,""
35,"Pagos efectuados a casa matriz (no domiciliadas) por filiales y/o sucursales domiciliadas",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 158 (via taxation/04 SV-TAX-FR-126)",v16_apendice,2025-10-01,""
36,"Servicio de transporte internacional a personas no domiciliadas",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 158 reduced rate (via taxation/04 SV-TAX-FR-126)",v16_apendice,2025-10-01,"5% transport track kin"
37,"Servicios por aseguradoras, reaseguradoras, afianzadoras, reafianzadoras y corredores de reaseguros no domiciliados",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 158 reduced rate (via taxation/04 SV-TAX-FR-126)",v16_apendice,2025-10-01,"5% reinsurer track kin"
38,"Servicios de financiamiento por instituciones financieras no domiciliadas",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 158 (via taxation/04 SV-TAX-FR-126)",v16_apendice,2025-10-01,"Financing-institution track kin"
39,"Operaciones con intangibles o uso concesión de uso [apéndice elides] ... a no domiciliados",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 158 (via taxation/04 SV-TAX-FR-126)",v16_apendice,2025-10-01,""
40,"Rentas de personas constituidas, domiciliadas o residentes en países con regimenes fiscales preferentes o paraísos fiscales",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 158-A (via taxation/04 SV-TAX-FR-127)",v16_apendice,2025-10-01,"HAVEN 25% exactness (06-file FR-141)"
41,"Premios o ganancias de no domiciliadas [apéndice elides]",definitiva,no_domiciliados,"rows 62-79; casillas 250-314","CT 160 (via taxation/04 SV-TAX-FR-129)",v16_apendice,2025-10-01,""
42,"Otras retenciones",definitiva,acreditables_definitivas_296_328,"296-328 block zone (form extract groups otras 42/83 here)","CT 154-160 matrix zone (unpinned per-code)",v16_apendice,2025-10-01,"Catch-all definitive"
43,"Pago o Acreditación de utilidades a socios, accionistas, asociados, fideicomisarios, participes, inversionistas o beneficiarios",definitiva,acreditables_definitivas_296_328,"296-328 distributions block","Ley ISR Art. 72 (via taxation/05 SV-TAX-FR-132)",v16_apendice,2025-10-01,"Distributions withholding leg; earnings-register event feed (SV-TAX-FR-144/145)"
44,"Pago o Acreditación de utilidades a sujetos no domiciliados en El Salvador",definitiva,acreditables_definitivas_296_328,"296-328 distributions block","Ley ISR Art. 73 (via taxation/05 SV-TAX-FR-137)",v16_apendice,2025-10-01,"PE/non-domiciled distributions"
45,"Pago o acreditación en disminución de capital o patrimonio (parte correspondiente a capitalizaciones o reinversión de utilidades)",definitiva,acreditables_definitivas_296_328,"296-328 distributions block","Ley ISR Art. 74 (via taxation/05 SV-TAX-FR-138)",v16_apendice,2025-10-01,"Capital reductions; profits-first tracing"
46,"Prestamos, mutuos, anticipos o financiamientos (en dinero o bienes en especie)",definitiva,acreditables_definitivas_296_328,"296-328 block (form extract: préstamos 46)","Ley ISR Art. 74-A + Art. 25 (via taxation/05 SV-TAX-FR-139/142)",v16_apendice,2025-10-01,"Deemed-distribution loans"
47,"Rentas a Personas Naturales domiciliadas en concepto de intereses, premios y otras utilidades provenientes de Depósitos en Dinero",definitiva,acreditables_definitivas_230_336,"rows 28-46 zone; 230-336; totals 330-336","CT Art. 123 Inciso Tercero (printed in the apéndice) + CT 159 zone (SV-TAX-FR-128 kin)",v16_apendice,2025-10-01,"AGGREGATE ROW: NIT = 14 zeros + name = VARIOS (verbatim note; FR-175)"
49,"Sobre Ingresos por remuneraciones con o sin dependencia laboral prestados a Inversionistas",definitiva,acreditables_definitivas_296_328,"296-328 block zone (form extract groups remuneraciones inversionistas 49/84 here)","unpinned (OQ-005)",v16_apendice,2025-10-01,"Investor remunerations"
60,"Servicios de carácter permanente con subordinación o dependencia laboral (Tramo I de las Tablas de Retención)",sin_retencion,ingresos_sin_retencion,"row 58 'Ingresos gravados sin retención'; 104/105 zone","Ley ISR Art. 38 + D.E. 10-2025 Tramo I (via taxation/04 SV-TAX-FR-106/109)",v16_apendice,2025-10-01,"Below-table payroll; monthly selection SV-TAX-FR-106; ANNUAL 01-vs-60 rule FR-180"
70,"Indemnizaciones por despido, retiro voluntario, muerte, incapacidad, accidente o enfermedad (según ley)",no_gravado,ingresos_no_gravados,"rows 59-60 'INGRESOS NO GRAVADOS'","según ley (specific law not in corpus; OQ-005)",v16_apendice,2025-10-01,"Reporting-only"
71,"Valores garantizados por seguro dotal u otros tipos de seguros (según ley)",no_gravado,ingresos_no_gravados,"rows 59-60 'INGRESOS NO GRAVADOS'","según ley (specific law not in corpus; OQ-005)",v16_apendice,2025-10-01,"Reporting-only"
72,"Remuneraciones, compensaciones y gastos de representación por servicios en el exterior de funcionarios o empleados de gob. (según ley)",no_gravado,ingresos_no_gravados,"rows 59-60 'INGRESOS NO GRAVADOS'","según ley (specific law not in corpus; OQ-005)",v16_apendice,2025-10-01,"Reporting-only"
